date,AT,CH,DE,FR,IT,SE
2021-01-01,0,2,21,7,4,2
2021-01-02,2,0,20,10,12,2
2021-01-03,1,1,18,10,21,3
2021-01-04,6,3,35,17,23,10
2021-01-05,4,4,32,17,28,5
2021-01-06,4,5,39,22,15,9
2021-01-07,3,3,32,18,27,11
2021-01-08,2,4,30,26,28,6
2021-01-09,4,2,19,12,18,3
2021-01-10,5,1,21,10,17,4
2021-01-11,1,4,29,31,25,7
2021-01-12,4,5,26,34,34,10
2021-01-13,1,1,29,25,25,17
2021-01-14,4,2,32,27,21,17
2021-01-15,2,3,16,27,23,7
2021-01-16,0,0,16,4,16,3
2021-01-17,1,2,16,15,13,4
2021-01-18,5,2,33,35,25,12
2021-01-19,5,3,28,29,32,12
2021-01-20,1,3,29,30,31,10
2021-01-21,3,2,23,21,32,9
2021-01-22,2,4,34,20,36,10
2021-01-23,1,2,19,20,19,3
2021-01-24,0,3,15,16,17,6
2021-01-25,2,2,31,21,26,8
2021-01-26,1,3,34,28,33,12
2021-01-27,4,2,28,25,35,14
2021-01-28,3,4,35,20,22,10
2021-01-29,3,3,24,29,26,5
2021-01-30,6,3,25,10,13,5
2021-01-31,2,7,18,10,17,1
2021-02-01,1,7,33,15,30,15
2021-02-02,3,4,47,25,32,7
2021-02-03,4,4,47,33,33,6
2021-02-04,0,3,29,18,21,14
2021-02-05,1,3,33,16,15,9
2021-02-06,2,4,18,14,13,2
2021-02-07,3,0,17,14,10,6
2021-02-08,4,3,24,25,30,3
2021-02-09,2,4,31,30,22,7
2021-02-10,3,3,43,26,34,12
2021-02-11,2,7,28,27,26,11
2021-02-12,6,1,35,25,31,11
2021-02-13,1,3,19,5,14,8
2021-02-14,1,0,15,11,16,6
2021-02-15,6,3,23,13,43,7
2021-02-16,5,4,32,29,32,12
2021-02-17,1,7,34,19,27,11
2021-02-18,1,4,25,23,30,12
2021-02-19,1,1,19,19,33,7
2021-02-20,1,2,21,10,19,2
2021-02-21,2,0,17,11,8,4
2021-02-22,3,5,31,19,25,8
2021-02-23,2,8,36,23,18,12
2021-02-24,1,1,34,15,32,12
2021-02-25,1,4,23,27,25,9
2021-02-26,3,0,20,16,24,6
2021-02-27,1,2,9,13,14,2
2021-02-28,0,1,14,10,6,2
2021-03-01,1,4,22,31,34,10
