date,AT,CH,DE,FR,IT,SE
2021-01-01,16,17,163,115,186,67
2021-01-02,26,24,220,147,280,74
2021-01-03,24,24,205,174,266,95
2021-01-04,44,48,466,407,404,170
2021-01-05,37,46,463,382,437,175
2021-01-06,32,48,431,371,303,107
2021-01-07,51,39,452,364,508,159
2021-01-08,30,53,437,336,443,160
2021-01-09,19,33,254,195,329,85
2021-01-10,25,36,312,197,307,83
2021-01-11,45,48,478,446,524,173
2021-01-12,52,89,508,399,577,238
2021-01-13,53,53,514,416,485,214
2021-01-14,46,60,515,374,512,206
2021-01-15,49,41,495,404,521,220
2021-01-16,23,28,270,183,329,105
2021-01-17,24,26,270,191,329,104
2021-01-18,39,54,540,440,589,246
2021-01-19,57,54,533,439,643,255
2021-01-20,40,45,492,431,660,205
2021-01-21,43,58,491,444,646,191
2021-01-22,30,44,455,437,633,227
2021-01-23,19,24,271,225,466,99
2021-01-24,29,28,278,208,414,108
2021-01-25,52,55,511,446,675,224
2021-01-26,51,55,507,448,644,235
2021-01-27,58,46,502,410,642,260
2021-01-28,45,40,540,395,597,207
2021-01-29,28,50,500,362,579,173
2021-01-30,36,43,301,208,335,86
2021-01-31,36,47,320,235,278,103
2021-02-01,52,59,632,472,611,249
2021-02-02,55,75,678,496,638,230
2021-02-03,47,59,617,468,633,210
2021-02-04,49,68,509,436,527,227
2021-02-05,43,49,509,380,541,192
2021-02-06,31,41,273,211,314,88
2021-02-07,39,36,270,236,335,97
2021-02-08,52,58,497,441,576,224
2021-02-09,35,57,512,416,533,222
2021-02-10,47,60,580,405,549,231
2021-02-11,47,75,495,425,530,208
2021-02-12,31,53,463,385,513,215
2021-02-13,25,30,274,199,331,97
2021-02-14,26,30,263,194,271,89
2021-02-15,45,68,563,434,593,236
2021-02-16,44,47,557,425,559,249
2021-02-17,40,63,551,420,617,248
2021-02-18,48,64,562,479,539,248
2021-02-19,42,38,482,365,525,194
2021-02-20,21,25,253,207,306,95
2021-02-21,26,23,236,175,273,94
2021-02-22,36,58,521,404,566,229
2021-02-23,51,68,529,402,538,216
2021-02-24,43,52,526,401,583,239
2021-02-25,41,47,477,453,524,194
2021-02-26,39,33,487,381,494,166
2021-02-27,25,29,239,199,305,76
2021-02-28,31,32,264,178,298,83
2021-03-01,55,54,567,434,575,231
2021-03-02,53,47,596,447,549,234
2021-03-03,47,58,585,400,545,227
2021-03-04,54,62,558,450,572,207
2021-03-05,47,44,476,407,498,175
2021-03-06,27,29,300,203,369,82
2021-03-07,19,34,321,233,329,84
2021-03-08,56,45,533,458,538,210
2021-03-09,50,50,574,457,604,210
2021-03-10,37,56,559,445,577,197
2021-03-11,54,39,572,451,597,202
2021-03-12,43,45,499,439,500,187
2021-03-13,27,44,268,251,299,77
2021-03-14,25,26,284,231,302,102
2021-03-15,53,46,530,496,596,230
2021-03-16,55,49,529,524,584,210
2021-03-17,55,56,555,479,587,207
2021-03-18,45,54,481,446,625,196
2021-03-19,40,54,460,382,563,174
2021-03-20,21,31,252,184,396,85
2021-03-21,23,45,262,207,363,91
2021-03-22,53,43,515,427,541,214
2021-03-23,37,58,461,444,508,192
2021-03-24,41,54,441,381,512,194
2021-03-25,41,48,470,392,475,196
2021-03-26,40,34,383,392,475,198
2021-03-27,28,31,248,197,322,69
2021-03-28,19,22,237,182,294,89
2021-03-29,42,58,447,405,484,220
2021-03-30,36,44,424,365,469,222
2021-03-31,36,39,451,314,475,199
2021-04-01,41,43,422,297,451,169
2021-04-02,41,47,244,295,388,80
2021-04-03,22,26,228,158,253,62
2021-04-04,23,28,196,140,197,70
2021-04-05,28,29,294,174,296,96
2021-04-06,41,47,574,404,631,207
2021-04-07,55,48,556,397,664,218
2021-04-08,48,51,546,397,611,213
2021-04-09,42,55,519,360,575,173
2021-04-10,25,35,282,219,380,53
2021-04-11,39,27,289,237,377,89
2021-04-12,57,47,603,428,639,206
2021-04-13,53,58,572,384,587,201
2021-04-14,61,50,531,384,594,219
2021-04-15,52,57,530,395,563,195
2021-04-16,45,50,469,324,529,204
2021-04-17,28,33,241,155,326,74
2021-04-18,30,31,275,156,322,86
2021-04-19,63,53,560,375,505,210
2021-04-20,45,62,561,399,500,221
2021-04-21,48,54,541,431,500,196
2021-04-22,51,46,523,403,569,229
2021-04-23,43,54,470,338,472,182
2021-04-24,27,31,241,150,333,68
2021-04-25,25,36,253,175,270,74
2021-04-26,50,54,510,538,483,202
2021-04-27,56,51,538,722,558,212
2021-04-28,42,64,534,485,549,208
2021-04-29,47,65,526,420,515,205
2021-04-30,43,45,472,402,496,202
2021-05-01,18,44,268,177,273,71
2021-05-02,27,31,296,206,289,97
2021-05-03,52,45,508,384,480,232
2021-05-04,36,45,544,384,472,251
2021-05-05,49,42,557,372,490,302
2021-05-06,41,59,532,347,527,243
2021-05-07,52,39,522,307,441,191
2021-05-08,26,22,232,143,236,77
2021-05-09,16,22,223,152,206,86
2021-05-10,47,58,528,399,487,271
2021-05-11,35,51,555,426,566,192
2021-05-12,52,53,484,376,556,219
2021-05-13,26,38,316,207,529,84
2021-05-14,36,43,421,278,535,154
2021-05-15,27,22,259,212,319,59
2021-05-16,26,40,277,206,313,81
2021-05-17,41,46,566,433,583,199
2021-05-18,52,61,569,439,580,228
2021-05-19,36,64,537,385,499,213
2021-05-20,37,48,495,402,632,198
2021-05-21,24,43,460,364,505,190
2021-05-22,16,22,255,161,316,71
2021-05-23,24,15,272,139,303,85
2021-05-24,22,35,294,237,463,222
2021-05-25,53,49,516,330,385,208
2021-05-26,38,47,489,341,430,213
2021-05-27,30,49,477,314,405,231
2021-05-28,33,52,434,297,384,169
2021-05-29,12,20,181,136,198,53
2021-05-30,10,22,216,95,162,44
2021-05-31,46,45,437,329,391,186
2021-06-01,43,52,454,349,373,182
2021-06-02,45,54,465,333,249,190
2021-06-03,17,43,352,363,396,180
2021-06-04,35,28,399,307,399,139
2021-06-05,14,26,217,144,211,70
2021-06-06,31,25,230,156,231,62
2021-06-07,36,54,531,333,469,206
2021-06-08,46,40,488,319,424,190
2021-06-09,37,39,503,315,428,150
2021-06-10,36,49,432,305,430,148
2021-06-11,36,38,406,274,381,157
2021-06-12,13,14,206,135,214,61
2021-06-13,16,28,208,117,201,77
2021-06-14,32,39,460,361,399,167
2021-06-15,39,44,450,336,449,167
2021-06-16,40,46,460,308,392,198
2021-06-17,41,45,433,317,316,174
2021-06-18,24,31,388,283,291,124
2021-06-19,13,16,159,124,140,63
2021-06-20,11,13,195,128,123,65
2021-06-21,31,48,490,324,356,185
2021-06-22,44,51,475,325,445,180
2021-06-23,38,39,457,305,484,168
2021-06-24,36,39,460,327,473,149
2021-06-25,33,38,388,283,452,46
2021-06-26,16,20,183,123,253,51
2021-06-27,11,26,183,113,237,55
2021-06-28,36,35,455,308,472,157
2021-06-29,35,57,419,316,448,142
2021-06-30,23,44,376,281,376,110
2021-07-01,36,39,429,285,482,157
2021-07-02,26,30,376,271,397,122
2021-07-03,19,22,164,121,236,48
2021-07-04,19,21,198,139,206,67
2021-07-05,29,59,451,376,460,183
2021-07-06,36,46,468,290,423,163
2021-07-07,42,48,463,316,411,123
2021-07-08,38,49,488,326,449,127
2021-07-09,31,37,409,290,386,151
2021-07-10,11,16,197,134,213,56
2021-07-11,22,26,221,122,179,50
2021-07-12,46,35,459,298,401,121
2021-07-13,33,43,460,305,509,139
2021-07-14,45,55,492,161,462,124
2021-07-15,37,40,392,303,466,109
2021-07-16,24,48,341,272,428,95
2021-07-17,11,22,168,94,241,55
2021-07-18,14,19,194,122,189,59
2021-07-19,31,50,373,294,456,110
2021-07-20,26,39,371,278,440,95
2021-07-21,29,31,374,261,456,102
2021-07-22,28,39,366,258,420,92
2021-07-23,19,40,291,227,347,99
2021-07-24,9,17,165,136,210,42
2021-07-25,20,32,153,130,192,46
2021-07-26,42,45,338,283,409,95
2021-07-27,33,45,380,295,456,105
2021-07-28,28,40,341,266,430,119
2021-07-29,18,39,343,208,390,96
2021-07-30,21,30,302,235,345,112
2021-07-31,9,15,157,87,188,54
2021-08-01,16,28,200,99,157,67
2021-08-02,29,41,371,226,356,134
2021-08-03,38,44,407,241,411,144
2021-08-04,41,49,382,254,409,120
2021-08-05,31,39,457,216,367,116
2021-08-06,37,35,377,219,324,120
2021-08-07,25,31,187,106,189,66
2021-08-08,13,21,173,111,161,68
2021-08-09,41,34,392,192,324,142
2021-08-10,34,55,399,206,313,148
2021-08-11,32,42,355,218,348,178
2021-08-12,27,37,345,238,299,152
2021-08-13,32,25,294,185,282,136
2021-08-14,16,15,129,112,165,54
2021-08-15,8,19,167,103,138,59
2021-08-16,32,53,371,224,274,190
2021-08-17,38,44,398,252,317,164
2021-08-18,39,36,353,192,238,156
2021-08-19,23,26,307,201,171,125
2021-08-20,33,26,328,221,279,149
2021-08-21,23,32,155,122,187,51
2021-08-22,8,18,195,123,214,68
2021-08-23,40,35,371,271,369,169
2021-08-24,42,51,367,273,411,160
2021-08-25,27,36,367,249,403,173
2021-08-26,47,44,364,208,366,188
2021-08-27,27,30,327,240,357,158
2021-08-28,23,24,148,131,229,75
2021-08-29,23,24,178,104,185,71
2021-08-30,30,42,385,299,408,187
2021-08-31,35,50,379,306,386,164
2021-09-01,36,41,396,290,428,197
2021-09-02,36,51,362,305,412,183
2021-09-03,32,32,331,291,388,143
2021-09-04,13,19,152,134,241,75
2021-09-05,15,25,183,139,209,82
2021-09-06,45,40,404,362,476,193
2021-09-07,42,47,419,368,454,186
2021-09-08,42,42,374,339,480,191
2021-09-09,33,46,372,353,442,193
2021-09-10,45,40,391,328,472,167
2021-09-11,20,21,201,153,247,69
2021-09-12,18,28,209,142,232,87
2021-09-13,45,40,409,359,453,212
2021-09-14,40,48,405,410,532,209
