date,countryIsoCode,goal10Completions
2021-01-01,AT,0
2021-01-01,CH,0
2021-01-01,DE,0
2021-01-01,FR,0
2021-01-01,IT,0
2021-01-01,SE,0
2021-01-02,AT,0
2021-01-02,CH,0
2021-01-02,DE,0
2021-01-02,FR,0
2021-01-02,IT,2
2021-01-02,SE,2
2021-01-03,AT,0
2021-01-03,CH,0
2021-01-03,DE,0
2021-01-03,FR,3
2021-01-03,IT,0
2021-01-03,SE,0
2021-01-04,AT,0
2021-01-04,CH,0
2021-01-04,DE,1
2021-01-04,FR,0
2021-01-04,IT,2
2021-01-04,SE,0
2021-01-05,AT,0
2021-01-05,CH,0
2021-01-05,DE,3
2021-01-05,FR,3
2021-01-05,IT,2
2021-01-05,SE,1
2021-01-06,AT,1
2021-01-06,CH,0
2021-01-06,DE,0
2021-01-06,FR,1
2021-01-06,IT,2
2021-01-06,SE,2
2021-01-07,AT,0
2021-01-07,CH,0
2021-01-07,DE,1
2021-01-07,FR,0
2021-01-07,IT,2
2021-01-07,SE,0
2021-01-08,AT,1
2021-01-08,CH,0
2021-01-08,DE,2
2021-01-08,FR,0
2021-01-08,IT,3
2021-01-08,SE,1
2021-01-09,AT,0
2021-01-09,CH,0
2021-01-09,DE,1
2021-01-09,FR,1
2021-01-09,IT,1
2021-01-09,SE,0
2021-01-10,AT,0
2021-01-10,CH,0
2021-01-10,DE,0
2021-01-10,FR,2
2021-01-10,IT,1
2021-01-10,SE,0
2021-01-11,AT,0
2021-01-11,CH,0
2021-01-11,DE,0
2021-01-11,FR,3
2021-01-11,IT,0
2021-01-11,SE,0
2021-01-12,AT,0
2021-01-12,CH,0
2021-01-12,DE,1
2021-01-12,FR,0
2021-01-12,IT,1
2021-01-12,SE,0
2021-01-13,AT,0
2021-01-13,CH,0
2021-01-13,DE,3
2021-01-13,FR,1
2021-01-13,IT,2
2021-01-13,SE,1
2021-01-14,AT,0
2021-01-14,CH,0
2021-01-14,DE,0
2021-01-14,FR,1
2021-01-14,IT,1
2021-01-14,SE,1
2021-01-15,AT,0
2021-01-15,CH,0
2021-01-15,DE,1
2021-01-15,FR,0
2021-01-15,IT,0
2021-01-15,SE,0
2021-01-16,AT,0
2021-01-16,CH,0
2021-01-16,DE,1
2021-01-16,FR,0
2021-01-16,IT,1
2021-01-16,SE,0
2021-01-17,AT,0
2021-01-17,CH,0
2021-01-17,DE,0
2021-01-17,FR,0
2021-01-17,IT,0
2021-01-17,SE,1
2021-01-18,AT,0
2021-01-18,CH,0
2021-01-18,DE,3
2021-01-18,FR,0
2021-01-18,IT,1
2021-01-18,SE,2
2021-01-19,AT,1
2021-01-19,CH,0
2021-01-19,DE,2
2021-01-19,FR,1
2021-01-19,IT,2
2021-01-19,SE,0
2021-01-20,AT,0
2021-01-20,CH,0
2021-01-20,DE,1
2021-01-20,FR,1
2021-01-20,IT,2
2021-01-20,SE,1
2021-01-21,AT,0
2021-01-21,CH,0
2021-01-21,DE,2
2021-01-21,FR,2
2021-01-21,IT,3
2021-01-21,SE,0
2021-01-22,AT,0
2021-01-22,CH,0
2021-01-22,DE,2
2021-01-22,FR,3
2021-01-22,IT,3
2021-01-22,SE,0
2021-01-23,AT,0
2021-01-23,CH,0
2021-01-23,DE,0
2021-01-23,FR,0
2021-01-23,IT,1
2021-01-23,SE,0
2021-01-24,AT,0
2021-01-24,CH,0
2021-01-24,DE,2
2021-01-24,FR,0
2021-01-24,IT,0
2021-01-24,SE,0
2021-01-25,AT,1
2021-01-25,CH,0
2021-01-25,DE,0
2021-01-25,FR,3
2021-01-25,IT,0
2021-01-25,SE,1
2021-01-26,AT,1
2021-01-26,CH,0
2021-01-26,DE,0
2021-01-26,FR,2
2021-01-26,IT,2
2021-01-26,SE,3
2021-01-27,AT,0
2021-01-27,CH,0
2021-01-27,DE,1
2021-01-27,FR,2
2021-01-27,IT,0
2021-01-27,SE,0
2021-01-28,AT,0
2021-01-28,CH,2
2021-01-28,DE,3
2021-01-28,FR,1
2021-01-28,IT,1
2021-01-28,SE,0
2021-01-29,AT,0
2021-01-29,CH,0
2021-01-29,DE,1
