date,countryIsoCode,users
2021-01-01,AT,16
2021-01-01,CH,17
2021-01-01,DE,163
2021-01-01,FR,115
2021-01-01,IT,186
2021-01-01,SE,67
2021-01-02,AT,26
2021-01-02,CH,24
2021-01-02,DE,220
2021-01-02,FR,147
2021-01-02,IT,280
2021-01-02,SE,74
2021-01-03,AT,24
2021-01-03,CH,24
2021-01-03,DE,205
2021-01-03,FR,174
2021-01-03,IT,266
2021-01-03,SE,95
2021-01-04,AT,44
2021-01-04,CH,48
2021-01-04,DE,466
2021-01-04,FR,407
2021-01-04,IT,404
2021-01-04,SE,170
2021-01-05,AT,37
2021-01-05,CH,46
2021-01-05,DE,463
2021-01-05,FR,382
2021-01-05,IT,437
2021-01-05,SE,175
2021-01-06,AT,32
2021-01-06,CH,48
2021-01-06,DE,431
2021-01-06,FR,371
2021-01-06,IT,303
2021-01-06,SE,107
2021-01-07,AT,51
2021-01-07,CH,39
2021-01-07,DE,452
2021-01-07,FR,364
2021-01-07,IT,508
2021-01-07,SE,159
2021-01-08,AT,30
2021-01-08,CH,53
2021-01-08,DE,437
2021-01-08,FR,336
2021-01-08,IT,443
2021-01-08,SE,160
2021-01-09,AT,19
2021-01-09,CH,33
2021-01-09,DE,254
2021-01-09,FR,195
2021-01-09,IT,329
2021-01-09,SE,85
2021-01-10,AT,25
2021-01-10,CH,36
2021-01-10,DE,312
2021-01-10,FR,197
2021-01-10,IT,307
2021-01-10,SE,83
2021-01-11,AT,45
2021-01-11,CH,48
2021-01-11,DE,478
2021-01-11,FR,446
2021-01-11,IT,524
2021-01-11,SE,173
2021-01-12,AT,52
2021-01-12,CH,89
2021-01-12,DE,508
2021-01-12,FR,399
2021-01-12,IT,577
2021-01-12,SE,238
2021-01-13,AT,53
2021-01-13,CH,53
2021-01-13,DE,514
2021-01-13,FR,416
2021-01-13,IT,485
2021-01-13,SE,214
2021-01-14,AT,46
2021-01-14,CH,60
2021-01-14,DE,515
2021-01-14,FR,374
2021-01-14,IT,512
2021-01-14,SE,206
2021-01-15,AT,49
2021-01-15,CH,41
2021-01-15,DE,495
2021-01-15,FR,404
2021-01-15,IT,521
2021-01-15,SE,220
2021-01-16,AT,23
2021-01-16,CH,28
2021-01-16,DE,270
2021-01-16,FR,183
2021-01-16,IT,329
2021-01-16,SE,105
2021-01-17,AT,24
2021-01-17,CH,26
2021-01-17,DE,270
2021-01-17,FR,191
2021-01-17,IT,329
2021-01-17,SE,104
2021-01-18,AT,39
2021-01-18,CH,54
2021-01-18,DE,540
2021-01-18,FR,440
2021-01-18,IT,589
2021-01-18,SE,246
2021-01-19,AT,57
2021-01-19,CH,54
2021-01-19,DE,533
2021-01-19,FR,439
2021-01-19,IT,643
2021-01-19,SE,255
2021-01-20,AT,40
2021-01-20,CH,45
2021-01-20,DE,492
